t,o,h,l,c,v
1719946800000,62328.3,62375.0,61901.0,61959.5,338761.6
1719950400000,61959.4,62102.7,61881.1,62020.2,163429.7
1719954000000,62020.1,62103.0,61921.0,61956.0,111643.0
1719957600000,61955.9,62120.0,61955.9,62091.0,95119.5
1719961200000,62091.1,62195.6,62078.3,62129.9,131180.2
1719964800000,62129.9,62292.1,62084.9,62091.6,158941.7
1719968400000,62091.7,62231.5,61268.0,61633.5,909789.4
1719972000000,61633.5,61633.7,61250.1,61376.9,677587.4
1719975600000,61376.9,61388.0,60601.1,60990.1,1101791.0
1719979200000,60990.0,60994.9,60815.8,60889.0,279486.1
1719982800000,60888.9,61119.7,60865.7,61118.9,344272.3
1719986400000,61118.8,61185.8,60964.6,61011.0,270371.8
1719990000000,61010.9,61041.2,60840.5,60874.2,253235.8
1719993600000,60871.6,60997.2,60360.0,60495.6,737181.0
1719997200000,60495.6,60680.0,60304.0,60616.3,578490.1
1720000800000,60616.3,60636.7,59531.3,60386.6,1844151.3
1720004400000,60386.6,60495.9,60114.4,60393.7,565977.8
1720008000000,60393.7,60395.4,59927.1,60035.6,640842.9
1720011600000,60034.5,60644.6,59760.0,60589.9,983700.0
1720015200000,60589.9,60778.0,60268.0,60290.7,586948.1
1720018800000,60290.6,60463.9,59964.3,60187.1,740735.8
1720022400000,60187.2,60664.8,60090.1,60499.8,631483.3
1720026000000,60499.8,60520.0,60182.4,60367.1,266307.6
1720029600000,60367.1,60439.0,60230.0,60242.2,173867.0
1720033200000,60242.1,60242.1,59640.5,59661.7,653521.6
1720036800000,59660.5,59867.7,59555.5,59604.9,352201.7
1720040400000,59604.9,60349.2,59365.0,60242.9,559385.3
1720044000000,60242.8,60370.4,60121.1,60318.9,170172.9
1720047600000,60318.9,60371.7,60207.9,60213.9,105304.2
1720051200000,60214.0,60483.2,60214.0,60420.9,246202.8
1720054800000,60420.8,60503.8,58429.8,58587.5,2100953.2
1720058400000,58587.5,59139.0,57796.9,58965.0,1861373.6
