t,o,h,l,c,v
1719158400000,64103.5,64155.9,64050.9,64155.9,43909.5
1719159300000,64156.0,64193.7,64093.8,64114.0,28475.1
1719160200000,64114.0,64148.0,64104.1,64132.5,10002.7
1719161100000,64132.4,64132.5,63925.0,63939.2,135099.3
1719162000000,63939.3,64069.1,63931.1,64068.0,63418.0
1719162900000,64068.0,64186.4,64061.4,64079.4,61847.1
1719163800000,64079.4,64195.0,64079.3,64126.2,46341.3
1719164700000,64126.2,64145.2,64093.3,64130.1,13126.8
1719165600000,64130.1,64168.2,64088.0,64105.9,30661.1
1719166500000,64105.9,64124.9,64082.6,64088.0,8436.0
1719167400000,64088.0,64129.7,64077.1,64126.3,11717.1
1719168300000,64126.4,64141.1,64096.1,64123.4,10575.7
1719169200000,64123.5,64165.0,64108.8,64162.0,15302.2
1719170100000,64162.1,64196.4,64150.0,64159.6,19455.6
1719171000000,64159.6,64159.7,64095.5,64130.2,10065.2
1719171900000,64130.2,64155.0,64110.0,64155.0,12865.3
1719172800000,64155.0,64165.2,64113.0,64113.1,9078.3
1719173700000,64113.1,64113.1,63991.7,64023.8,24596.6
1719174600000,64023.9,64023.9,63597.9,63788.1,250946.0
1719175500000,63788.0,63861.2,63721.1,63748.2,64211.6
1719176400000,63748.2,63818.2,63555.0,63688.2,108402.9
1719177300000,63688.1,63790.0,63531.0,63746.1,65792.7
1719178200000,63746.1,63857.1,63689.8,63848.0,27347.8
1719179100000,63848.0,63850.0,63768.6,63838.9,30003.1
1719180000000,63838.8,63838.9,63675.5,63697.9,45460.6
1719180900000,63697.9,63786.5,63675.0,63708.6,31665.8
1719181800000,63708.6,63739.8,63656.7,63703.4,27997.4
1719182700000,63703.4,63709.0,63631.1,63661.4,23111.3
1719183600000,63661.3,63701.9,63600.0,63682.1,39000.9
1719184500000,63682.0,63682.0,63539.9,63543.2,58158.6
1719185400000,63543.3,63560.0,63200.0,63367.3,325519.2
1719186300000,63367.3,63390.2,63160.8,63203.8,152420.0
1719187200000,63203.8,63297.5,62903.3,63087.6,346014.5
1719188100000,63087.7,63200.0,63052.3,63100.0,166187.0
1719189000000,63100.1,63328.9,62905.0,63256.6,192597.2
1719189900000,63256.5,63300.0,63026.4,63080.0,118148.4
1719190800000,63080.0,63156.2,63003.2,63052.6,82419.3
1719191700000,63052.6,63229.4,62921.3,63229.4,244325.0
1719192600000,63229.4,63295.1,63168.0,63219.9,79896.8
1719193500000,63219.9,63342.0,63207.0,63310.7,64930.8
1719194400000,63310.7,63370.7,63212.0,63237.1,77254.2
